SRVID;Date d'ouverture co;Date de souscription;Techno;Reseau;Code INSEE;Adresse IP;OPTIONS;Nb STB;STB1;STB2;STB3;STB4;STB5;STB6;STB7;STB8;STB9;STB10
35465984;10/11/2021 18:52;18/10/2021 14:47;FIBRE;BYT;42218;176.190.108.113;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011103715031;;;;;;;;;
31697877;30/06/2019 09:56;27/06/2019 19:52;FIBRE;BYT;77284;176.151.244.60;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;272011910202991;;;;;;;;;
31497191;31/08/2019 17:52;04/03/2019 04:32;FIBRE;BYT;13056;128.78.121.126;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011917703801;;;;;;;;;
32378275;21/12/2021 19:49;14/12/2021 11:10;FIBRE;BYT;75115;176.170.198.145;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011102701578;;;;;;;;;
34480568;05/04/2022 17:28;26/07/2021 17:25;FIBRE;BYT;93048;87.89.201.130;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011720431419;;;;;;;;;
31094457;22/01/2019 13:23;15/11/2018 21:31;XDSL;BYT;38565;;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | TIME | VOD | VOD_24;0;;;;;;;;;;
35171933;23/10/2021 18:15;25/09/2021 17:55;FIBRE;BYT;59009;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | OTT_LIVE_DRM_STB | RISK_2 | SVOD;0;;;;;;;;;;
21336516;;11/09/2020 11:30;FIBRE;BYT;67204;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
32401490;29/12/2019 09:40;23/12/2019 05:36;FIBRE;BYT;30189;31.35.37.0;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;272011933100388;;;;;;;;;
22091301;19/03/2021 06:55;18/03/2021 22:59;XDSL;FT;50412;176.154.8.70;BBOX_FT | RADIO_FT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011818410135;;;;;;;;;
25354826;19/03/2021 07:20;18/03/2021 20:14;XDSL;FT;76259;176.155.80.51;BBOX_FT | RADIO_FT | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | LIVE | SVOD | VOD | VOD_24;1;222060442639528;;;;;;;;;
34149294;28/06/2021 12:42;15/06/2021 10:25;FIBRE;BYT;69275;89.88.133.202;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_OL_TV | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011631612222;;;;;;;;;
33834325;31/03/2021 12:40;22/03/2021 10:57;FIBRE;BYT;62498;87.88.126.62;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011024319053;;;;;;;;;
34009480;15/06/2021 15:30;20/05/2021 14:42;FIBRE;BYT;29232;31.38.52.147;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011104426240;;;;;;;;;
21042333;14/11/2018 09:44;14/11/2018 07:50;FIBRE;BYT;06083;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
30576544;25/10/2020 08:04;07/08/2018 18:10;XDSL;BYT;14699;89.85.161.136;BBOX_BYT | RADIO_BYT | HD | IPTV_BYT_BASIC | LIVE | PVR_40 | SVOD | VOD | VOD_24;1;222060442253536;;;;;;;;;
34638546;21/08/2021 17:01;13/08/2021 10:28;FIBRE;BYT;75115;176.159.60.237;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;272011107112144;;;;;;;;;
31931131;03/09/2021 02:26;22/08/2019 22:06;XDSL;BYT;33063;176.175.98.234;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | TIME | VOD | VOD_24;1;271011751303479;;;;;;;;;
26857028;30/03/2019 16:23;30/03/2019 12:47;FIBRE;BYT;92023;176.159.9.150;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_BBOXCINE_ES | HD | LIVE | SVOD | VOD | VOD_24;1;272011832518854;;;;;;;;;
33226311;;01/10/2020 09:45;FIBRE;BYT;54547;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
31351453;29/01/2019 10:27;16/01/2019 21:46;FIBRE;BYT;57606;176.165.117.185;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011840622953;;;;;;;;;
32773329;23/04/2021 11:11;22/04/2021 17:56;XDSL;BYT;83050;31.35.252.131;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_BYT_OCS | IPTV_SVOD_OCS | LIVE | SVOD | VOD | VOD_24;1;271011817331886;;;;;;;;;
33503266;;01/07/2021 19:36;FIBRE;BYT;69256;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | RISK_2 | SVOD;0;;;;;;;;;;
31610567;19/04/2019 19:11;19/04/2019 15:40;XDSL;FT;70311;176.140.68.175;BBOX_FT | RADIO_FT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | LIVE | SVOD | VOD | VOD_24;1;271011717637200;;;;;;;;;
25600076;25/03/2021 16:00;25/03/2021 09:34;FIBRE;BYT;51454;89.85.97.152;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_BBOXCINE | FIBRE_BEIN_CRYP1 | FIBRE_BEIN_CRYP2 | FIBRE_BEIN_CRYP3 | FIBRE_BEIN_SPORT | FIBRE_DIVERTI | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011043311693;;;;;;;;;
21930317;;07/02/2022 14:36;FIBRE;BYT;75116;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
33836968;27/06/2021 21:32;22/03/2021 18:09;FIBRE;BYT;93051;176.183.216.74;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_OCS | HD | IPTV_STO | IPTV_SVOD_OCS | LIVE | MULTI | SVOD | VOD | VOD_24;2;271011649306130;271011721213154;;;;;;;;
33241868;;05/05/2022 06:22;XDSL;BYT;89024;;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
23399268;05/03/2018 09:37;23/03/2016 07:47;FIBRE;BYT;75119;176.158.138.201;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;271011533444328;;;;;;;;;
31155460;02/12/2018 13:49;27/11/2018 11:33;XDSL;BYT;63307;176.190.63.167;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | VOD | VOD_24;1;271011543011240;;;;;;;;;
31304414;20/01/2019 12:23;07/01/2019 13:36;XDSL;BYT;26362;176.135.210.90;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | VOD | VOD_24;1;271011723325170;;;;;;;;;
30468137;20/07/2018 19:41;20/07/2018 19:38;XDSL;FT;59444;176.152.167.126;BBOX_FT | RADIO_FT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011815407927;;;;;;;;;
31952780;03/09/2019 14:27;22/08/2019 13:32;FIBRE;BYT;57463;5.48.153.123;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011916315854;;;;;;;;;
28544820;01/02/2021 09:05;03/03/2017 17:36;XDSL;BYT;78498;100.64.97.148;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | VOD | VOD_24;1;271011648410834;;;;;;;;;
31228881;09/08/2021 18:33;07/08/2021 15:33;FIBRE;BYT;69288;89.89.186.69;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;272011109116523;;;;;;;;;
34804872;09/09/2021 19:34;30/08/2021 07:44;FIBRE;BYT;59279;176.172.194.145;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;272011106710641;;;;;;;;;
35820097;22/11/2021 19:30;13/11/2021 10:46;FIBRE;BYT;72181;89.88.251.120;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011824113052;;;;;;;;;
33441839;07/12/2020 11:19;29/11/2020 05:21;FIBRE;BYT;67453;176.148.170.253;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_MYTF1MAX_INCLUS | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011034415123;;;;;;;;;
27246545;23/04/2016 09:02;04/04/2016 18:11;FIBRE;BYT;69384;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
30237019;02/08/2021 20:05;01/08/2021 01:36;XDSL;BYT;13035;176.145.163.153;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | TIME | VOD | VOD_24;1;271011733211618;;;;;;;;;
28298115;30/09/2021 19:49;30/12/2020 10:45;FIBRE;BYT;75106;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
34630930;01/02/2022 18:49;12/08/2021 12:25;FIBRE;BYT;62193;176.166.152.122;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011533028592;;;;;;;;;
33164796;20/09/2021 16:17;08/09/2021 22:04;FIBRE;BYT;76217;176.183.237.174;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011122528332;;;;;;;;;
21148653;01/09/2017 14:27;17/07/2017 13:33;XDSL;FT;73051;176.153.109.13;BBOX_FT | RADIO_FT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | LIVE | SVOD | TIME | VOD | VOD_24;1;271011647206613;;;;;;;;;
32712563;19/05/2021 11:13;07/05/2020 06:24;FIBRE;BYT;92040;5.51.245.87;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011852123569;;;;;;;;;
32614638;28/09/2021 03:48;02/03/2020 11:46;FIBRE;BYT;93007;176.182.249.14;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011939420954;;;;;;;;;
21041448;17/11/2021 13:40;17/05/2011 00:00;XDSL;BYT;69383;176.134.196.85;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | VOD | VOD_24;1;271011702404384;;;;;;;;;
31002386;03/04/2021 14:17;13/10/2018 13:17;FIBRE;BYT;75120;176.151.111.33;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_MYTF1MAX | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011739708509;;;;;;;;;
27564696;01/09/2021 11:59;01/09/2021 07:33;FIBRE;BYT;77180;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
24583792;27/10/2017 15:56;04/07/2014 17:34;XDSL;BYT;34172;176.138.103.42;BBOX_BYT | RADIO_BYT | HD | IPTV_BYT_BASIC | LIVE | PVR | SVOD | TIME | VOD | VOD_24;1;222060447408440;;;;;;;;;
21715636;21/12/2021 13:41;26/11/2020 12:53;FIBRE;BYT;51454;87.88.208.174;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | OTT_LIVE_DRM_STB | SVOD | VOD | VOD_24;1;272011031528696;;;;;;;;;
37468864;07/05/2022 16:23;15/04/2022 14:31;FIBRE;BYT;63453;31.34.172.86;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011505420140;;;;;;;;;
23684097;02/05/2022 19:18;12/04/2022 17:10;FIBRE;BYT;52182;176.165.243.141;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_PACK_X | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011016429522;;;;;;;;;
23033731;08/04/2020 20:30;04/07/2018 07:49;FIBRE;BYT;62734;176.174.6.177;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | LIVE | SVOD | VOD | VOD_24;1;272011831300973;;;;;;;;;
25619201;21/07/2021 21:22;20/02/2015 08:07;XDSL;BYT;78640;176.136.237.92;BBOX_BYT | RADIO_BYT | IPTV_BYT_BASIC | LIVE | SVOD | VOD | VOD_24;1;222060545401214;;;;;;;;;
25170403;12/09/2021 11:11;07/11/2014 08:17;XDSL;BYT;33039;176.166.48.216;BBOX_BYT | RADIO_BYT | HD | IPTV_BYT_BASIC | IPTV_BYT_PACK_LUSOPH | LIVE | PVR_40 | SVOD | TIME | VOD | VOD_24;1;222060541102154;;;;;;;;;
31726889;04/06/2019 15:22;29/05/2019 21:32;XDSL;BYT;45142;176.169.101.99;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | OTT_LIVE_DRM_STB | SVOD | TIME | VOD | VOD_24;1;271011712637866;;;;;;;;;
22821754;;11/05/2022 19:29;FIBRE;BYT;14656;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | FIBRE_BASIC | HD | IPTV_STO | LIVE | MULTI | SVOD | VOD | VOD_24;0;;;;;;;;;;
28876264;08/06/2022 09:44;20/06/2017 05:42;XDSL;BYT;51454;100.67.163.31;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_PBCANALB | LIVE | SVOD | VOD | VOD_24;1;271011713639531;;;;;;;;;
26136492;23/06/2021 18:14;11/07/2015 08:06;XDSL;BYT;33527;89.81.209.11;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_STO | LIVE | SVOD | TIME | VOD | VOD_24;1;271011710630947;;;;;;;;;
21445715;10/09/2020 18:36;12/06/2014 12:34;XDSL;AX;07138;89.94.240.196;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | LIVE | SVOD | VOD | VOD_24;1;271011648304383;;;;;;;;;
32976154;18/08/2020 18:10;10/08/2020 22:32;FIBRE;BYT;14221;89.85.177.128;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | FIBRE_OCS | HD | IPTV_STO | IPTV_SVOD_OCS | LIVE | SVOD | VOD | VOD_24;1;272011017403815;;;;;;;;;
31543035;09/06/2020 17:00;09/04/2020 20:10;FIBRE;BYT;21231;128.78.115.46;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011944709375;;;;;;;;;
20611197;15/12/2021 17:54;13/08/2021 09:33;FIBRE;BYT;66136;5.48.47.166;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011053613608;;;;;;;;;
33116244;10/06/2021 16:02;10/06/2021 15:33;FIBRE;BYT;14587;176.137.88.127;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011852128840;;;;;;;;;
36614945;11/05/2022 06:06;21/01/2022 13:48;FIBRE;BYT;95018;94.239.243.43;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011523112471;;;;;;;;;
33033088;15/03/2022 11:11;25/08/2020 16:54;FIBRE;BYT;51454;100.67.170.109;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_MYTF1MAX_INCLUS | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011018703502;;;;;;;;;
36928195;02/03/2022 16:46;22/02/2022 20:05;XDSL;FT;13040;176.156.133.84;BBOX_FT | RADIO_FT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_FT_BASIC | IPTV_FT_BASIC_ADVANC | IPTV_STO | LIVE | SVOD | TIME | VOD | VOD_24;1;271011717103328;;;;;;;;;
37369751;13/04/2022 09:37;05/04/2022 20:00;FIBRE;BYT;78586;176.160.212.2;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;214023139316230;;;;;;;;;
34041138;17/04/2022 15:57;31/05/2021 17:09;FIBRE;BYT;62040;176.174.73.194;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_MYTF1MAX_INCLUS | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011101326807;;;;;;;;;
30647101;01/09/2018 16:43;22/08/2018 15:45;XDSL;BYT;44109;176.150.165.227;BBOX_BYT | RADIO_BYT | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | HD | IPTV_BYT_BASIC | IPTV_BYT_BASIC_ADVAN | IPTV_BYT_JEUNESSEB | IPTV_STO | LIVE | SVOD | TIME | VOD | VOD_24;1;272011816701229;;;;;;;;;
32879836;18/04/2021 15:26;15/04/2021 13:34;FIBRE;BYT;01053;176.150.66.160;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;272011041601632;;;;;;;;;
33884112;;07/04/2021 18:49;FIBRE;BYT;93031;;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO;0;;;;;;;;;;
37069073;17/03/2022 13:47;08/03/2022 15:44;FIBRE;BYT;41148;31.39.218.142;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_NPVR_BASIC_PARC | IPTV_STO | LIVE | NPVR_TYPE | SVOD | VOD | VOD_24;1;214021112644180;;;;;;;;;
27187217;20/02/2022 21:51;22/03/2016 19:44;XDSL;BYT;11262;;BBOX_BYT | RADIO_BYT | IPTV_BYT_BASIC | LIVE | SVOD | VOD | VOD_24;0;;;;;;;;;;
32996476;30/09/2020 11:46;04/09/2020 23:32;FIBRE;BYT;91377;176.143.182.126;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011604418060;;;;;;;;;
37649523;20/05/2022 20:50;03/05/2022 13:52;FIBRE;BYT;26198;212.194.49.16;BBOX_FIBRE | RADIO_FIBRE | EXT_OTT_ACCESS | EXT_OTT_TVBASIC | FIBRE_BASIC | HD | IPTV_STO | LIVE | SVOD | VOD | VOD_24;1;271011751319806;;;;;;;;;
